num_personas,num_vehiculos,num_motocicleta,num_bicis,num_camiones,num_autobuses,num_peatones,num_pasajeros,num_hombres,num_mujeres,max_lesividad,coord_x,coord_y,distrito,droga_alcohol,tiempo_desfavorable,noche
2,2,0,0,0,0,0,2,1,1,0,445658.0,4471158.0,PUENTE DE VALLECAS,1,0,1
4,3,1,0,0,0,0,4,4,0,0,447640.0,4469154.0,VILLA DE VALLECAS,0,1,1
5,4,1,0,0,0,0,5,1,4,0,437920.0,4472518.0,CARABANCHEL,1,1,1
1,0,0,1,0,0,0,1,0,1,2,438247.0,4473924.0,LATINA,0,1,0
2,2,0,0,0,0,0,2,2,0,0,443371.0,4479655.0,CHAMARTÍN,0,0,0
1,0,1,0,0,0,0,1,1,0,2,441709.0,4475584.0,SALAMANCA,0,1,0
1,0,0,0,0,1,0,1,1,0,0,434223.0,4470119.0,LATINA,0,0,0
2,2,0,0,0,0,0,2,0,2,0,447167.0,4474242.0,SAN BLAS-CANILLEJAS,0,0,0
1,0,1,0,0,0,0,1,0,1,2,442511.0,4478722.0,CHAMARTÍN,0,0,0
1,1,0,0,0,0,0,1,1,0,0,439280.0,4475807.0,CHAMBERÍ,0,0,0
2,2,0,0,0,0,0,2,2,0,0,440968.0,4474493.0,CENTRO,0,0,0
2,2,0,0,0,0,1,1,1,1,2,445322.0,4480896.0,HORTALEZA,0,0,0
6,6,0,0,0,0,0,6,4,2,2,439755.0,4475732.0,CHAMBERÍ,0,0,0
3,2,0,0,0,1,0,3,2,1,0,442622.0,4475136.0,SALAMANCA,0,0,0
7,7,0,0,0,0,0,7,2,5,0,442244.0,4476003.0,SALAMANCA,0,0,0
1,1,0,0,0,0,0,1,1,0,0,438900.0,4469616.0,CARABANCHEL,0,0,0
1,1,0,0,0,0,0,1,1,0,1,441738.0,4475765.0,SALAMANCA,0,1,0
2,2,0,0,0,0,0,2,1,1,0,441286.0,4466297.0,VILLAVERDE,0,0,0
2,1,1,0,0,0,0,2,1,1,1,450288.0,4479976.0,BARAJAS,0,0,0
2,1,0,0,0,1,0,2,2,0,0,442224.0,4476924.0,CHAMARTÍN,0,0,0
1,0,1,0,0,0,0,1,0,1,1,440689.0,4476667.0,CHAMBERÍ,0,0,0
2,2,0,0,0,0,0,2,1,1,0,445513.0,4480025.0,HORTALEZA,0,0,0
3,3,0,0,0,0,0,3,2,1,2,446281.0,4475816.0,CIUDAD LINEAL,0,1,0
3,2,0,0,1,0,0,3,2,1,1,440438.0,4480516.0,TETUÁN,0,0,0
2,2,0,0,0,0,0,2,1,1,0,440695.0,4473063.0,CENTRO,0,0,0
3,3,0,0,0,0,0,3,1,2,0,445838.0,4472491.0,MORATALAZ,1,0,0
3,3,0,0,0,0,0,3,2,1,0,442617.0,4471712.0,ARGANZUELA,0,0,0
2,2,0,0,0,0,0,2,1,1,0,444551.0,4480917.0,HORTALEZA,0,0,1
4,4,0,0,0,0,0,4,3,1,0,442991.0,4481715.0,FUENCARRAL-EL PARDO,0,0,0
2,2,0,0,0,0,0,2,2,0,0,438629.0,4465824.0,VILLAVERDE,0,0,0
1,1,0,0,0,0,0,1,1,0,0,443684.0,4473027.0,PUENTE DE VALLECAS,0,0,1
1,1,0,0,0,0,0,1,1,0,0,444528.0,4475119.0,CIUDAD LINEAL,0,0,1
1,0,0,0,1,0,0,1,1,0,0,435572.0,4472217.0,LATINA,0,0,0
2,2,0,0,0,0,0,2,2,0,0,444635.0,4473514.0,MORATALAZ,0,0,1
2,0,2,0,0,0,0,2,2,0,1,442579.0,4472778.0,RETIRO,0,1,1
1,1,0,0,0,0,0,1,1,0,0,443003.0,4476718.0,SALAMANCA,0,0,1
1,0,1,0,0,0,0,1,1,0,2,448385.0,4473009.0,VICÁLVARO,0,0,1
2,2,0,0,0,0,0,2,1,1,0,440311.0,4470318.0,USERA,0,0,1
2,1,0,1,0,0,0,2,2,0,2,439743.0,4473412.0,CENTRO,0,0,1
2,1,0,0,1,0,0,2,2,0,0,441020.0,4471362.0,ARGANZUELA,0,1,0
3,2,1,0,0,0,0,3,2,1,2,443622.0,4471898.0,PUENTE DE VALLECAS,0,0,0
1,1,0,0,0,0,0,1,1,0,0,438616.0,4470987.0,CARABANCHEL,0,1,0
1,1,0,0,0,0,0,1,1,0,0,451355.0,4477763.0,SAN BLAS-CANILLEJAS,0,0,0
2,2,0,0,0,0,0,2,0,2,0,446943.0,4475242.0,SAN BLAS-CANILLEJAS,0,0,0
